Date,Region,Location from list,Title,Code,Elevation,Caught,Buried,Killed,Aspect,Vertical Fall,Latitude,Longitude,Avalanche Type,Bed Surface,D size,R size,Problem Type,Trigger,Slab Thickness units
3/17/2025,Bridger Range,Fairy Lake,Wind Slab Avalanches in N Bridgers,SS-N-I,,0,0,,E,,45.9043,-110.958,Soft slab avalanche,I - Interface between new and old snow,,,Wind Slab,Natural trigger,centimeters
3/17/2025,Cooke City,COOKE CITY,Wind Slab Avalanches on Scotch Bonnet and Wolverine,N-R2-D2-I,10000,0,0,,,1500,45.0202,-109.938,,I - Interface between new and old snow,2,2,Wind-Drifted Snow,Natural trigger,inches
3/16/2025,Lionhead Range,LIONHEAD AREA,Many Wind Slab Avalanches at Lionhead,N-R2-D2-I,9400,0,0,,E,,44.7292,-111.323,,I - Interface between new and old snow,2,2,Wind Slab,Natural trigger,centimeters
3/16/2025,Northern Madison,Buck Ridge,Small wind slabs on Buck Ridge,SS-AMc-S,9000,0,0,,N,,45.1719,-111.38,Soft slab avalanche,S - Avalanche released within new snow,,,Wind Slab,Snowmobile,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3/16/2025,Bridger Range,BRIDGER RANGE,Isolated Wind Slabs in S. Bridger Range,SS-AS-R1-D1-I,,0,0,,,,45.8512,-110.948,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind Slab,Skier,centimeters
3/16/2025,Northern Gallatin,Mt Blackmore,"Small Wind Slab avalanche, Blackmore",SS-R1-D1-I,8800,0,0,,N,100,45.4444,-111.004,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind Slab,,centimeters
,,,,,,,,,,,,,,,,,,,
3/15/2025,Bridger Range,Frazier Basin,Wind Slabs in Frazier Basin,N-R1,,0,0,,,,45.9233,-110.98,,,,1,Wind Slab,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
3/15/2025,Cooke City,Henderson Mountain,Dry Loose avalanches near Cooke,L-AS-D1,9300,0,0,,E,,45.0524,-109.945,Loose-snow avalanche,,1,,Loose Dry,Skier,centimeters
3/15/2025,Bridger Range,Bridger Peak,Dry loose avalanches in Bridgers,L-AS-R1-D1.5,,0,0,,,,45.7701,-110.94,Loose-snow avalanche,,1.5,1,Loose Dry,Skier,centimeters
,,,,,,,,,,,,,,,,,,,
3/14/2025,Cooke City,Hayden Creek,Small Wind Slab Avalanches on Woody Ridge,SS-N-D1,10000,0,0,,,100,44.9952,-109.908,Soft slab avalanche,,1,,Wind-Drifted Snow,Natural trigger,centimeters
3/14/2025,Cooke City,Crown Butte,small dry loose slides north of Cooke,L-N-R1-D1-S,9500,0,0,,S,,45.0525,-109.962,Loose-snow avalanche,S - Avalanche released within new snow,1,1,Loose Dry,Natural trigger,inches
3/14/2025,Cooke City,Abiathar Peak,Small storm slabs and dry loose in Cooke,SS-AS,,0,0,,,,44.9756,-110.031,Soft slab avalanche,,,,Storm Slab,Skier,centimeters
3/14/2025,Cooke City,COOKE CITY,Old Wind Slab Avalanche South of Cooke,SS-N-R2-D2-U,9600,0,0,,E,,45.0202,-109.938,Soft slab avalanche,U - Unknown,2,2,Wind-Drifted Snow,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3/14/2025,Southern Madison,Taylor Fork,Snowmobiler triggered 3 foot deep slide Sunlight Basin,HS-AMu-R2-D2-O,8800,0,0,,NW,100,44.9772,-111.286,Hard slab avalanche,O - Old snow,2,2,Persistent Slab,Snowmobile,inches
3/13/2025,Island Park,CENTENNIAL RANGE,Island Park soft slabs,SS-N-R1-D2-I,8800,0,0,,N,300,44.5602,-111.463,Soft slab avalanche,I - Interface between new and old snow,2,1,Storm Slab,Natural trigger,inches
,,,,,,,,,,,,,,,,,,,
3/9/2025,Lionhead Range,Lionhead Ridge,recent small wind slabs at Lionhead,SS-N-R1-D1-S,9000,0,0,,E,100,44.7145,-111.318,Soft slab avalanche,S - Avalanche released within new snow,1,1,Wind Slab,Natural trigger,inches
3/8/2025,Bridger Range,Frazier Basin,Skier triggered Wind Slab Avalanches in Frazier Basin,SS-AS-R2-D1.5-S,7500,1,0,,NE,100,45.9278,-110.962,Soft slab avalanche,S - Avalanche released within new snow,1.5,2,Wind Slab,Skier,inches
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3/7/2025,Northern Gallatin,Mt Blackmore,Loose avalanches on Blackmore,N-R1-D1,,0,0,,,,45.4444,-111.004,,,1,1,,Natural trigger,centimeters
3/7/2025,Bridger Range,The Throne,Fresh reactive wind slabs N. Bridgers,SS-ASc-R1-D1-S,8300,0,0,,SE,100,45.8822,-110.952,Soft slab avalanche,S - Avalanche released within new snow,1,1,Wind Slab,Skier,inches
,,,,,,,,,,,,,,,,,,,
3/7/2025,Bridger Range,The Throne,small loose snow slides N. Bridgers,L-N-R1-D1-S,8500,0,0,,S,,45.8822,-110.952,Loose-snow avalanche,S - Avalanche released within new snow,1,1,Loose Dry,Natural trigger,centimeters
3/5/2025,Northern Gallatin,Mt Blackmore,Loose snow avalanches around Blackmore,L-R1-D1,,0,0,,,,45.4444,-111.004,Loose-snow avalanche,,1,1,New Snow,,centimeters
,,,,,,,,,,,,,,,,,,,
3/2/2025,Cooke City,Miller Ridge,"Wet Loose Avalanches, W Miller Ridge",WL-N,9500,0,0,,SW,,45.0423,-109.965,Wet loose-snow avalanche,,,,Loose Wet,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
3/1/2025,Northern Madison,Beehive Basin,Cornice Fall Avalanche in Beehive,C-ARc-R1-D2,9100,0,0,,E,,45.3,-111.399,Cornice fall,,2,1,Cornice Fall,Snowboarder,inches
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3/1/2025,Northern Gallatin,Alex Lowe Peak,Cornice Fall Avalanches in upper South Cottonwood,C-N-R1-D1.5,9000,0,0,,N,,45.4272,-111.014,Cornice fall,,1.5,1,Cornice Fall,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
3/1/2025,Southern Madison,Taylor Fork,Wet slides in S. Madison,WL-N-R1-D1.5,,0,0,,,,45.0607,-111.272,Wet loose-snow avalanche,,1.5,1,Wet Snow,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3/1/2025,Bridger Range,Hourglass Chute,Natural Wet Loose Avalanches on solar aspects north of Bridger Bowl,WL-N-R1-D1,,0,0,,,,45.8332,-110.936,Wet loose-snow avalanche,,1,1,Loose Wet,Natural trigger,centimeters
3/1/2025,Northern Madison,Other place,Wet Loose Avalanche Pioneer Mountain,WL-N-R1-D2,,0,0,,S,,45.6553,-110.558,Wet loose-snow avalanche,,2,1,Loose Wet,Natural trigger,centimeters
2/28/2025,Lionhead Range,Targhee Creek,Snowmobile triggered 3-5' deep hard slab at Lionhead,HS-AMu-R4-D3-O,9200,0,0,,N,200,44.7413,-111.374,Hard slab avalanche,O - Old snow,3,4,Persistent Slab,Snowmobile,inches
,,,,,,,,,,,,,,,,,,,
2/28/2025,Southern Madison,Taylor Fork,Small PWL Avalanche in Carrot Basin,HS-AM-R1-D1-O,9000,0,0,,N,50,45.0607,-111.272,Hard slab avalanche,O - Old snow,1,1,Persistent Weak Layer,Snowmobile,inches
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2/28/2025,Lionhead Range,Airplane Bowl,Snowmobile triggered slide in Airplane Bowl,HS-AMu-R2-D2-O,9100,0,0,,SE,200,44.725,-111.322,Hard slab avalanche,O - Old snow,2,2,Persistent Slab,Snowmobile,inches
2/27/2025,Southern Madison,Cabin Creek,Rider triggered slide at Cabin Creek,AM,9000,0,0,,N,,44.8648,-111.22,,,,,,Snowmobile,centimeters
,,,,,,,,,,,,,,,,,,,
2/27/2025,Northern Madison,Buck Ridge,Small PWL Avalanche in First Yellow Mule,SS-AMu-R1-D1-O,9000,0,0,,N,20,45.1719,-111.38,Soft slab avalanche,O - Old snow,1,1,Persistent Weak Layer,Snowmobile,inches
2/26/2025,Northern Madison,Hellroaring Creek,Old slide in hell roaring drainage,SS-R2-D2,,0,0,,E,,44.549,-111.475,Soft slab avalanche,,2,2,,,inches
